wine.arff
confidenceFactor;minNumObj;numFolds;TP;FP;Precision;Recall;F-measure
0,25;6;8;0,938;0,036;0,94;0,938;0,938
0,25;6;10;0,938;0,036;0,94;0,938;0,938
0,25;6;20;0,938;0,036;0,94;0,938;0,938
0,25;6;25;0,938;0,036;0,94;0,938;0,938
0,25;6;50;0,938;0,036;0,94;0,938;0,938
0,25;10;3;0,938;0,036;0,94;0,938;0,938
0,25;10;4;0,938;0,036;0,94;0,938;0,938
0,25;10;5;0,938;0,036;0,94;0,938;0,938
0,25;10;8;0,938;0,036;0,94;0,938;0,938
0,25;10;10;0,938;0,036;0,94;0,938;0,938
0,25;10;20;0,938;0,036;0,94;0,938;0,938
0,25;10;25;0,938;0,036;0,94;0,938;0,938
0,25;10;50;0,938;0,036;0,94;0,938;0,938
0,25;20;3;0,938;0,036;0,94;0,938;0,938
0,25;20;4;0,938;0,036;0,94;0,938;0,938
0,25;20;5;0,938;0,036;0,94;0,938;0,938
0,25;20;8;0,938;0,036;0,94;0,938;0,938
0,25;20;10;0,938;0,036;0,94;0,938;0,938
0,25;20;20;0,938;0,036;0,94;0,938;0,938
0,25;20;25;0,938;0,036;0,94;0,938;0,938
0,25;20;50;0,938;0,036;0,94;0,938;0,938
0,35;2;3;0,938;0,036;0,94;0,938;0,938
0,35;2;4;0,938;0,036;0,94;0,938;0,938
0,35;2;5;0,938;0,036;0,94;0,938;0,938
0,35;2;8;0,938;0,036;0,94;0,938;0,938
0,35;2;10;0,938;0,036;0,94;0,938;0,938
0,35;2;20;0,938;0,036;0,94;0,938;0,938
0,35;2;25;0,938;0,036;0,94;0,938;0,938
0,35;2;50;0,938;0,036;0,94;0,938;0,938
0,35;4;3;0,938;0,036;0,94;0,938;0,938
0,35;4;4;0,938;0,036;0,94;0,938;0,938
0,35;4;5;0,938;0,036;0,94;0,938;0,938
0,35;4;8;0,938;0,036;0,94;0,938;0,938
0,35;4;10;0,938;0,036;0,94;0,938;0,938
0,35;4;20;0,938;0,036;0,94;0,938;0,938
0,35;4;25;0,938;0,036;0,94;0,938;0,938
0,35;4;50;0,938;0,036;0,94;0,938;0,938
0,35;5;3;0,938;0,036;0,94;0,938;0,938
0,35;5;4;0,938;0,036;0,94;0,938;0,938
0,35;5;5;0,938;0,036;0,94;0,938;0,938
0,35;5;8;0,938;0,036;0,94;0,938;0,938
0,35;5;10;0,938;0,036;0,94;0,938;0,938
0,35;5;20;0,938;0,036;0,94;0,938;0,938
0,35;5;25;0,938;0,036;0,94;0,938;0,938
0,35;5;50;0,938;0,036;0,94;0,938;0,938
0,35;6;3;0,938;0,036;0,94;0,938;0,938
0,35;6;4;0,938;0,036;0,94;0,938;0,938
0,35;6;5;0,938;0,036;0,94;0,938;0,938
0,35;6;8;0,938;0,036;0,94;0,938;0,938
0,35;6;10;0,938;0,036;0,94;0,938;0,938
0,35;6;20;0,938;0,036;0,94;0,938;0,938
0,35;6;25;0,938;0,036;0,94;0,938;0,938
0,35;6;50;0,938;0,036;0,94;0,938;0,938
0,35;10;3;0,938;0,036;0,94;0,938;0,938
0,35;10;4;0,938;0,036;0,94;0,938;0,938
0,35;10;5;0,938;0,036;0,94;0,938;0,938
0,35;10;8;0,938;0,036;0,94;0,938;0,938
0,35;10;10;0,938;0,036;0,94;0,938;0,938
0,35;10;20;0,938;0,036;0,94;0,938;0,938
0,35;10;25;0,938;0,036;0,94;0,938;0,938
0,35;10;50;0,938;0,036;0,94;0,938;0,938
0,35;20;3;0,938;0,036;0,94;0,938;0,938
0,35;20;4;0,938;0,036;0,94;0,938;0,938
0,35;20;5;0,938;0,036;0,94;0,938;0,938
0,35;20;8;0,938;0,036;0,94;0,938;0,938
0,35;20;10;0,938;0,036;0,94;0,938;0,938
0,35;20;20;0,938;0,036;0,94;0,938;0,938
0,35;20;25;0,938;0,036;0,94;0,938;0,938
0,35;20;50;0,938;0,036;0,94;0,938;0,938
0,5;2;3;0,938;0,036;0,94;0,938;0,938
