wine
fold;numberOfClassfiers;samplingFactor;k;classificationAlgorithm;weightedTPRate;weightedFPRate;weightedAccuracy;weightedPrecision;weightedRecall;F
2;3;0.5;growing;KnnAdaBoost;0.47191012;0.25203505;0.64969707;0.4917074;0.47191012;0.44515705
3;3;0.5;growing;KnnAdaBoost;0.64044946;0.20013809;0.7615516;0.59085375;0.64044946;0.58869517
5;3;0.5;growing;KnnAdaBoost;0.64606744;0.20418109;0.7644553;0.58812857;0.64606744;0.59345406
10;3;0.5;growing;KnnAdaBoost;0.6235955;0.201632;0.7462442;0.5988908;0.6235955;0.60056686
2;3;0.5;falling;KnnBagging;0.7022472;0.15129358;0.80154026;0.70519674;0.7022472;0.7036276
3;3;0.5;falling;KnnBagging;0.7247191;0.13826719;0.81691074;0.73379105;0.7247191;0.728502
5;3;0.5;falling;KnnBagging;0.7022472;0.15861858;0.80081433;0.69615394;0.7022472;0.69789773
10;3;0.5;falling;KnnBagging;0.69101125;0.16111375;0.79475445;0.68487936;0.69101125;0.68734276
2;3;0.5;falling;KnnAdaBoost;0.49438202;0.21984403;0.66449946;0.56438166;0.49438202;0.44787037
3;3;0.5;falling;KnnAdaBoost;0.6123595;0.20692062;0.73933214;0.62267834;0.6123595;0.61528665
5;3;0.5;falling;KnnAdaBoost;0.53370786;0.25254685;0.6907272;0.45809293;0.53370786;0.4888161
10;3;0.5;falling;KnnAdaBoost;0.5674157;0.22143285;0.7139881;0.5546093;0.5674157;0.5595845
2;3;0.75;const;KnnBagging;0.7022472;0.15673372;0.8019505;0.69473547;0.7022472;0.6972564
3;3;0.75;const;KnnBagging;0.6741573;0.16875885;0.78064644;0.6730872;0.6741573;0.67358977
5;3;0.75;const;KnnBagging;0.7247191;0.1484364;0.8158692;0.7173615;0.7247191;0.7182486
10;3;0.75;const;KnnBagging;0.71348315;0.15045188;0.80687416;0.7141085;0.71348315;0.71370536
2;3;0.75;const;KnnAdaBoost;0.6853933;0.16484158;0.79137737;0.6791186;0.6853933;0.6812684
3;3;0.75;const;KnnAdaBoost;0.6741573;0.16193044;0.7847494;0.66883445;0.6741573;0.66799325
