"<continuous data>";;;;;;;;;;
"------------------------------------------------------------";;;;;;;;;;
"Glass";;;;;;;;;;
"ranges";"folds";"smooth";"TP";"FP";"Accuracy";"Precision";"Recall";"F";;
8;10;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
9;2;"true";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
9;3;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
9;5;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
9;10;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
10;2;"true";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
10;3;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
10;5;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
10;10;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
11;2;"true";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
11;3;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
11;5;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
11;10;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
12;2;"true";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
12;3;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
12;5;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
12;10;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
13;2;"true";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
13;3;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
13;5;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
13;10;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
14;2;"true";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
14;3;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
14;5;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
14;10;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
15;2;"true";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
15;3;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
15;5;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
15;10;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
16;2;"true";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
16;3;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
16;5;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
16;10;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
17;2;"true";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
17;3;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
17;5;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
17;10;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
18;2;"true";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
18;3;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
18;5;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
18;10;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
19;2;"true";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
19;3;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
19;5;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
19;10;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
20;2;"true";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
20;3;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
20;5;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
20;10;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
5;2;"false";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
5;3;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
5;5;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
5;10;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
6;2;"false";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
6;3;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
6;5;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
6;10;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
7;2;"false";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
7;3;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
7;5;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
7;10;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
8;2;"false";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
8;3;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
8;5;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
8;10;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
9;2;"false";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
9;3;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
9;5;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
9;10;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
