glass
distance;votingInput;folds;k;TP;FP;Accuracy;Precision;Recall;F
Euclidean;proportional;3;3;0.7383177;0.10013863;0.8712333;0.73683554;0.7383177;0.7360213
Euclidean;proportional;3;5;0.71495324;0.11590659;0.85581714;0.71450186;0.71495324;0.71103716
Euclidean;proportional;3;7;0.71495324;0.122917324;0.85302216;0.7142207;0.71495324;0.7089845
Euclidean;proportional;3;11;0.71495324;0.1333797;0.85262907;0.73051524;0.71495324;0.70008963
Euclidean;proportional;3;13;0.7009346;0.14296843;0.84328324;0.72022283;0.7009346;0.6856005
Euclidean;proportional;3;17;0.682243;0.1618434;0.82854396;0.7082608;0.682243;0.66214126
Euclidean;proportional;3;19;0.682243;0.1618434;0.82854396;0.7082608;0.682243;0.66214126
Euclidean;proportional;3;23;0.682243;0.15876736;0.8324526;0.7050665;0.682243;0.661657
Euclidean;proportional;5;1;0.7056075;0.112121396;0.85664696;0.70807564;0.7056075;0.7023365
Euclidean;proportional;5;3;0.69158876;0.115879804;0.8482401;0.69403446;0.69158876;0.69101524
Euclidean;proportional;5;5;0.71495324;0.10795674;0.86160374;0.71203625;0.71495324;0.71129274
Euclidean;proportional;5;7;0.7009346;0.11640939;0.8555115;0.69040275;0.7009346;0.69326115
Euclidean;proportional;5;11;0.7056075;0.13242926;0.85402656;0.6956648;0.7056075;0.6867257
Euclidean;proportional;5;13;0.6682243;0.15183875;0.8325618;0.660868;0.6682243;0.64712477
Euclidean;proportional;5;17;0.6728972;0.15022776;0.8347236;0.6675637;0.6728972;0.650404
Euclidean;proportional;5;19;0.6682243;0.16054906;0.8276706;0.65300655;0.6682243;0.638084
Euclidean;proportional;5;23;0.64953274;0.17117225;0.81594473;0.63438517;0.64953274;0.6163466
Euclidean;proportional;10;1;0.71495324;0.10952705;0.8608394;0.70801073;0.71495324;0.70931137
Euclidean;proportional;10;3;0.6962617;0.114577524;0.85079485;0.69203764;0.6962617;0.69153386
Euclidean;proportional;10;5;0.71028036;0.11210053;0.86009693;0.7027138;0.71028036;0.70369405
Euclidean;proportional;10;7;0.71028036;0.11654201;0.8576076;0.6944831;0.71028036;0.69985205
Euclidean;proportional;10;11;0.7196262;0.12317466;0.85891783;0.7048359;0.7196262;0.7032926
Euclidean;proportional;10;13;0.7196262;0.12703958;0.8561229;0.7068938;0.7196262;0.70052445
Euclidean;proportional;10;17;0.6962617;0.14658847;0.84275925;0.67101574;0.6962617;0.668865
Euclidean;proportional;10;19;0.6962617;0.14628652;0.8428903;0.67158717;0.6962617;0.6690313
Euclidean;proportional;10;23;0.682243;0.1547392;0.83644867;0.66173416;0.682243;0.6510511
Euclidean;weightedWithDistance;2;1;0.6214953;0.15070032;0.80437154;0.64556473;0.6214953;0.62649465
Euclidean;weightedWithDistance;2;3;0.6588785;0.12274105;0.8307713;0.675847;0.6588785;0.6648309
Euclidean;weightedWithDistance;2;5;0.635514;0.14245048;0.81616306;0.64931005;0.635514;0.6373992
Euclidean;weightedWithDistance;2;7;0.6168224;0.15491179;0.80336714;0.63520414;0.6168224;0.62042105
Euclidean;weightedWithDistance;2;11;0.5794392;0.18632065;0.7773823;0.5981057;0.5794392;0.57654303
Euclidean;weightedWithDistance;2;13;0.5794392;0.19570649;0.77502406;0.59384704;0.5794392;0.5694435
Euclidean;weightedWithDistance;2;17;0.62616825;0.18883084;0.8001572;0.6562583;0.62616825;0.5973085
Euclidean;weightedWithDistance;2;19;0.60747665;0.19646406;0.7906367;0.61507934;0.60747665;0.57602924
Euclidean;weightedWithDistance;2;23;0.57476634;0.21966799;0.76762164;0.5995643;0.57476634;0.53598225
Euclidean;weightedWithDistance;3;1;0.71495324;0.11530273;0.8540484;0.7187994;0.71495324;0.7126346
Euclidean;weightedWithDistance;3;3;0.7383177;0.10013863;0.8712333;0.73683554;0.7383177;0.7360213
Euclidean;weightedWithDistance;3;5;0.71495324;0.11590659;0.85581714;0.71450186;0.71495324;0.71103716
Euclidean;weightedWithDistance;3;7;0.71495324;0.122917324;0.85302216;0.7142207;0.71495324;0.7089845
Euclidean;weightedWithDistance;3;11;0.71495324;0.1333797;0.85262907;0.73051524;0.71495324;0.70008963
Euclidean;weightedWithDistance;3;13;0.7009346;0.14296843;0.84328324;0.72022283;0.7009346;0.6856005
Euclidean;weightedWithDistance;3;17;0.682243;0.1618434;0.82854396;0.7082608;0.682243;0.66214126
